0,1,2,3,4,5,6,7
1.04,1.03879516,1.03746387,1.03421879,1.03374194,1.03321187,1.03360984,1.03352003
1.04,1.03860727,1.03693572,1.03312513,1.03181103,1.03021756,1.03285979,1.03279394
1.04,1.03892978,1.03766309,1.03472143,1.03432574,1.03379206,1.03442373,1.03436397
1.04,1.03944791,1.03886807,1.03734859,1.03709261,1.03690482,1.03704876,1.03690354
1.04,1.03948942,1.03887167,1.03744477,1.03702231,1.03686243,1.03716438,1.03694065
1.04,1.03923078,1.03823448,1.03608396,1.03557175,1.03537724,1.03561606,1.03530064
1.04,1.03946241,1.03880765,1.03730555,1.03688653,1.0365792,1.03698764,1.03677701
1.04,1.0395236,1.03898957,1.0376643,1.03745531,1.03727268,1.03730492,1.03723935
1.04,1.03910709,1.03799069,1.03550633,1.0349952,1.03482051,1.03506528,1.03477665
1.04,1.03895021,1.03772829,1.03485067,1.03423314,1.03394842,1.03416592,1.03410015
1.04,1.0390405,1.03796046,1.03534027,1.03491859,1.03473674,1.03464,1.03437291
1.04,1.03819649,1.03601036,1.03110355,1.03065024,1.03007299,1.02967394,1.02961389
1.04,1.03828316,1.03631211,1.03171368,1.03131482,1.03082991,1.03101328,1.03094731
1.04,1.03827007,1.0363149,1.03170882,1.03071991,1.02927499,1.03085191,1.03064658
1.04,1.03690705,1.03302901,1.02467071,1.02376924,1.02289172,1.02309934,1.02303892
1.04,1.03810372,1.03609353,1.0312034,1.03063316,1.02975597,1.02981358,1.02930023
1.04,1.03645448,1.03210884,1.02268743,1.02130336,1.01895442,1.02038153,1.01874275
1.04,1.03794313,1.03582953,1.03064006,1.02993648,1.02886372,1.02920908,1.02877084
1.04,1.03798707,1.03583919,1.03065843,1.02972263,1.02878362,1.02940969,1.02892822
1.04,1.03745819,1.03447822,1.02775391,1.0269097,1.02641358,1.02590338,1.02555024
1.04,1.03686978,1.03297737,1.02455331,1.02354866,1.02197231,1.0223030999999998,1.02139009
1.04,1.03724392,1.03392962,1.02658387,1.02548096,1.02359993,1.02489779,1.02396594
1.04,1.03778947,1.03510472,1.02913116,1.02852601,1.02759069,1.02872523,1.02853201
1.04,1.03857523,1.03694892,1.03310623,1.03230875,1.03155433,1.03250984,1.03236571
1.04,1.03776668,1.03495904,1.02885413,1.02846049,1.02790199,1.0282753,1.02787869
1.04,1.03870997,1.03709027,1.03352016,1.03328467,1.03307922,1.03309862,1.03276012
1.04,1.03926594,1.03847975,1.03647389,1.03611951,1.03592909,1.03610498,1.03597703
1.04,1.03912836,1.03805813,1.03563741,1.03539792,1.03520757,1.03535638,1.03518978
1.04,1.03915718,1.03813257,1.03579349,1.03555351,1.0353683,1.03562296,1.0355812
1.04,1.03939603,1.03868594,1.03700606,1.0365664,1.0363877,1.03673269,1.03668501
1.04,1.03958455,1.03914491,1.03799131,1.03771781,1.0374139,1.0377574,1.03771594
1.04,1.03897056,1.03762415,1.03475084,1.03421947,1.03396967,1.03411681,1.03377517
1.04,1.03958855,1.03912976,1.03798242,1.03776728,1.03756556,1.03769254,1.03748327
1.04,1.03906186,1.03789109,1.03528336,1.03469962,1.03442467,1.03496655,1.03491879
1.04,1.03916492,1.03825289,1.0359742,1.03545133,1.03523894,1.0356755,1.03562776
1.04,1.03853181,1.03687774,1.03293917,1.03183729,1.03109639,1.03247799,1.03242043
1.04,1.0384372,1.03668217,1.0325075,1.03200976,1.03133489,1.03154914,1.03109602
1.04,1.03784162,1.03532754,1.02958259,1.02870767,1.02796366,1.02831473,1.0278331
1.04,1.03752894,1.03451878,1.02786329,1.02733746,1.02655122,1.02629214,1.02549091
1.04,1.03806016,1.03585673,1.03071518,1.03000031,1.02882247,1.02961627,1.02939891
1.04,1.03744896,1.03434402,1.02748463,1.02658558,1.02513147,1.0261889000000002,1.0253409
1.04,1.03717315,1.03371268,1.02612632,1.02532191,1.02408498,1.02490802,1.02464679
1.04,1.03781031,1.03541074,1.02974276,1.02925461,1.0285548,1.02828755,1.02723966
1.04,1.03768773,1.03500065,1.02887519,1.02787993,1.02628024,1.02757413,1.02716027
1.04,1.03831844,1.03643154,1.03195876,1.03096599,1.03015304,1.03132971,1.03113699
1.04,1.03870679,1.03728844,1.03382492,1.03345118,1.03299979,1.03301857,1.03240176
1.04,1.0378833,1.03531616,1.0295895,1.02866478,1.02713075,1.02856383,1.02822439
1.04,1.03841081,1.03645324,1.03209354,1.03113463,1.03046077,1.03148652,1.0313905
1.04,1.03904606,1.0379356,1.03531326,1.03492865,1.03445573,1.0346374,1.03460158
1.04,1.03946155,1.03891673,1.03744059,1.03705891,1.03661299,1.03726636,1.03723063
1.04,1.03911221,1.03804553,1.03558809,1.03513462,1.03460839,1.03532235,1.035255
